fecha,Provincia,Confirmados,Fallecidos,Muestras,Poblacion,Recuperados
2021-07-31 00:00:00,Azua,11,0,75,223971,5
2021-10-12 00:00:00,Azua,11,0,76,223979,3
2021-11-10 00:00:00,Azua,12,0,112,223981,17
2021-03-17 00:00:00,Azua,12,0,112,223960,18
2021-12-31 00:00:00,Azua,12,0,37,223984,4
2022-06-23 00:00:00,Azua,12,0,45,224032,11
2021-05-13 00:00:00,Azua,12,0,48,223965,3
2020-08-15 00:00:00,Azua,12,0,56,223936,31
2021-03-04 00:00:00,Azua,12,0,59,223960,12
2020-10-02 00:00:00,Azua,12,0,64,223948,8
2020-09-20 00:00:00,Azua,12,0,68,223944,6
2020-09-18 00:00:00,Azua,12,0,68,223944,9
2021-10-18 00:00:00,Azua,13,0,102,223979,6
2021-01-27 00:00:00,Azua,13,0,124,223955,3
2021-04-24 00:00:00,Azua,13,0,140,223963,14
2021-11-09 00:00:00,Azua,13,0,24,223981,17
2021-01-21 00:00:00,Azua,13,0,42,223955,0
2020-07-19 00:00:00,Azua,13,0,68,223931,12
2021-07-16 00:00:00,Azua,13,0,80,223971,13
2021-03-20 00:00:00,Azua,13,0,80,223960,7
2021-03-19 00:00:00,Azua,13,0,83,223960,10
2022-01-05 00:00:00,Azua,131,0,304,223992,'-15
2022-01-03 00:00:00,Azua,14,0,48,223992,'-1
2021-12-10 00:00:00,Azua,14,0,498,223984,3
2020-06-18 00:00:00,Azua,14,0,58,223939,3
2021-01-17 00:00:00,Azua,14,0,63,223955,4
2020-09-09 00:00:00,Azua,14,0,68,223944,12
2020-06-23 00:00:00,Azua,14,0,75,223939,14
2021-06-29 00:00:00,Azua,14,0,76,223968,10
2020-09-05 00:00:00,Azua,14,0,91,223944,5
2022-02-03 00:00:00,Azua,14,0,95,224000,2
2021-10-17 00:00:00,Azua,14,0,99,223979,47
2021-03-03 00:00:00,Azua,15,0,105,223960,13
2021-03-27 00:00:00,Azua,15,0,111,223960,10
2021-07-24 00:00:00,Azua,15,0,113,223971,109
2021-08-07 00:00:00,Azua,15,0,124,223973,8
2021-03-31 00:00:00,Azua,15,0,131,223960,24
2020-12-11 00:00:00,Azua,15,0,135,223952,2
2021-02-12 00:00:00,Azua,15,0,138,223957,7
2021-10-30 00:00:00,Azua,15,0,138,223979,7
2020-05-28 00:00:00,Azua,15,0,43,223929,5
2021-06-10 00:00:00,Azua,15,0,45,223968,5
2020-08-08 00:00:00,Azua,15,0,49,223936,35
2020-08-19 00:00:00,Azua,15,0,57,223936,20
2021-06-18 00:00:00,Azua,15,0,6,223968,'-2
2022-02-04 00:00:00,Azua,15,0,75,224000,28
2022-06-21 00:00:00,Azua,15,0,76,224032,6
2021-05-14 00:00:00,Azua,15,0,79,223965,6
2021-02-21 00:00:00,Azua,15,0,80,223957,9
2020-09-21 00:00:00,Azua,15,0,85,223944,5
2020-06-27 00:00:00,Azua,15,0,91,223939,20
2021-02-16 00:00:00,Azua,15,0,94,223957,18
2020-05-09 00:00:00,Azua,16,0,0,223929,2
2021-04-07 00:00:00,Azua,16,0,133,223963,14
2021-05-28 00:00:00,Azua,16,0,33,223965,3
2020-06-30 00:00:00,Azua,16,0,42,223939,16
2020-06-20 00:00:00,Azua,16,0,46,223939,3
2020-07-27 00:00:00,Azua,16,0,47,223931,41
2022-03-16 00:00:00,Azua,16,0,57,224008,0
2021-07-04 00:00:00,Azua,16,0,57,223971,12
2022-01-23 00:00:00,Azua,16,0,60,223992,29
2021-05-22 00:00:00,Azua,16,0,64,223965,1
2021-05-31 00:00:00,Azua,16,0,76,223965,1
2021-01-30 00:00:00,Azua,17,0,115,223955,7
2021-03-11 00:00:00,Azua,17,0,122,223960,26
2021-03-13 00:00:00,Azua,17,0,124,223960,13
2021-02-10 00:00:00,Azua,17,0,125,223957,10
2021-11-18 00:00:00,Azua,17,0,217,223981,10
2020-07-20 00:00:00,Azua,17,0,34,223931,6
2020-06-06 00:00:00,Azua,17,0,50,223939,0
2020-06-07 00:00:00,Azua,17,0,50,223939,4
2020-05-31 00:00:00,Azua,17,0,51,223929,2
2021-05-27 00:00:00,Azua,17,0,63,223965,0
2021-03-14 00:00:00,Azua,17,0,80,223960,12
2020-06-03 00:00:00,Azua,17,0,80,223939,3
2021-07-07 00:00:00,Azua,17,0,83,223971,19
2020-09-16 00:00:00,Azua,17,0,85,223944,2
2021-07-06 00:00:00,Azua,17,0,94,223971,23
2020-07-18 00:00:00,Azua,18,0,44,223931,1
2021-10-28 00:00:00,Azua,18,0,56,223979,2
2021-01-14 00:00:00,Azua,18,0,77,223955,1
2021-05-26 00:00:00,Azua,18,0,86,223965,11
2021-05-06 00:00:00,Azua,19,0,109,223965,11
2020-06-21 00:00:00,Azua,19,0,67,223939,5
2021-10-01 00:00:00,Azua,19,0,69,223979,1
2021-06-12 00:00:00,Azua,19,0,93,223968,6
2021-11-03 00:00:00,Azua,19,0,95,223981,27
2020-03-20 00:00:00,Azua,2,0,0,223921,0
2020-04-18 00:00:00,Azua,2,0,0,223922,0
2020-05-12 00:00:00,Azua,2,0,0,223929,2
2022-06-01 00:00:00,Azua,2,0,1,224032,0
2020-12-26 00:00:00,Azua,2,0,10,223952,1
2021-11-05 00:00:00,Azua,2,0,10,223981,1
2020-12-20 00:00:00,Azua,2,0,12,223952,5
2021-05-15 00:00:00,Azua,2,0,13,223965,1
2021-07-20 00:00:00,Azua,2,0,'-13,223971,13
2021-01-03 00:00:00,Azua,2,0,17,223955,2
2021-07-17 00:00:00,Azua,2,0,18,223971,8
2022-06-28 00:00:00,Azua,2,0,19,224032,14
2020-10-21 00:00:00,Azua,2,0,19,223948,44
2021-09-25 00:00:00,Azua,2,0,2,223976,0
2021-11-12 00:00:00,Azua,2,0,2,223981,11
2021-04-03 00:00:00,Azua,2,0,2,223963,12
2021-10-20 00:00:00,Azua,2,0,2,223979,13
2021-09-21 00:00:00,Azua,2,0,2,223976,7
2021-12-17 00:00:00,Azua,2,0,20,223984,0
2022-04-18 00:00:00,Azua,2,0,20,224016,0
2021-03-26 00:00:00,Azua,2,0,20,223960,1
2020-10-15 00:00:00,Azua,2,0,23,223948,5
2020-09-29 00:00:00,Azua,2,0,23,223944,6
2020-11-12 00:00:00,Azua,2,0,24,223947,0
2021-09-07 00:00:00,Azua,2,0,24,223976,0
2022-03-18 00:00:00,Azua,2,0,26,224008,5
2020-10-24 00:00:00,Azua,2,0,29,223948,2
2021-01-09 00:00:00,Azua,2,0,29,223955,2
2021-09-02 00:00:00,Azua,2,0,29,223976,2
2021-03-02 00:00:00,Azua,2,0,29,223960,8
2021-08-19 00:00:00,Azua,2,0,3,223973,2
2021-10-15 00:00:00,Azua,2,0,3,223979,2
2021-04-25 00:00:00,Azua,2,0,32,223963,6
2020-08-26 00:00:00,Azua,2,0,32,223936,7
2020-09-01 00:00:00,Azua,2,0,35,223944,11
2020-08-17 00:00:00,Azua,2,0,35,223936,16
2022-02-06 00:00:00,Azua,2,0,35,224000,4
2022-06-29 00:00:00,Azua,2,0,35,224032,'-8
2021-02-09 00:00:00,Azua,2,0,36,223957,8
2021-10-06 00:00:00,Azua,2,0,4,223979,'-1
2021-07-19 00:00:00,Azua,2,0,4,223971,2
2021-12-09 00:00:00,Azua,2,0,4,223984,2
2021-11-26 00:00:00,Azua,2,0,4,223981,6
2021-04-04 00:00:00,Azua,2,0,4,223963,7
2022-05-29 00:00:00,Azua,2,0,40,224024,'-2
2022-06-27 00:00:00,Azua,2,0,48,224032,1
2020-11-07 00:00:00,Azua,2,0,49,223947,7
2022-06-16 00:00:00,Azua,2,0,5,224032,0
2022-01-27 00:00:00,Azua,2,0,5,223992,11
2021-12-13 00:00:00,Azua,2,0,5,223984,2
2020-07-26 00:00:00,Azua,2,0,5,223931,46
2021-07-26 00:00:00,Azua,2,0,5,223971,51
2022-04-29 00:00:00,Azua,2,0,52,224016,1
2020-09-26 00:00:00,Azua,2,0,55,223944,1
2020-10-30 00:00:00,Azua,2,0,57,223948,3
2022-03-08 00:00:00,Azua,2,0,6,224008,1
2021-08-10 00:00:00,Azua,2,0,6,223973,78
2021-08-04 00:00:00,Azua,2,0,6,223973,8
2021-07-12 00:00:00,Azua,2,0,60,223971,6
2021-07-23 00:00:00,Azua,2,0,7,223971,127
2021-08-02 00:00:00,Azua,2,0,8,223973,4
2021-07-27 00:00:00,Azua,2,0,8,223971,68
2020-11-18 00:00:00,Azua,2,0,9,223947,0
2020-10-22 00:00:00,Azua,2,0,9,223948,42
2022-01-20 00:00:00,Azua,20,0,44,223992,57
2020-08-18 00:00:00,Azua,20,0,45,223936,27
2021-06-24 00:00:00,Azua,20,0,45,223968,7
2021-06-20 00:00:00,Azua,20,0,51,223968,19
2020-07-31 00:00:00,Azua,20,0,60,223931,10
2021-07-01 00:00:00,Azua,20,0,88,223971,23
2021-11-14 00:00:00,Azua,20,0,89,223981,4
2021-03-18 00:00:00,Azua,20,0,98,223960,15
2021-10-23 00:00:00,Azua,20,0,99,223979,5
2022-01-22 00:00:00,Azua,21,0,117,223992,92
2022-01-11 00:00:00,Azua,21,0,37,223992,6
2020-07-09 00:00:00,Azua,21,0,44,223931,10
2020-07-16 00:00:00,Azua,21,0,47,223931,18
2020-07-05 00:00:00,Azua,21,0,61,223931,19
2021-11-13 00:00:00,Azua,22,0,168,223981,2
2022-01-31 00:00:00,Azua,22,0,174,223992,15
2020-07-15 00:00:00,Azua,22,0,48,223931,3
2020-07-17 00:00:00,Azua,22,0,54,223931,5
